inf_id,inf_name,platform,follower_count,avg_engagement_rate,main_category,estimated_cost_per_post,genai_brand_fit_score,genai_brand_fit_reason
minseo53_instagram,김예진,Instagram,836940,0.1397,푸드,3050000,3.8,전문적인 이미지. 콘텐츠 퀄리티 우수.
oeunjeong_youtube,이민준,TikTok,18712,0.0855,뷰티,2980000,3.8,영한 이미지. 콘텐츠 퀄리티 우수.
ggim_instagram,김정호,Instagram,914622,0.1312,여행,9550000,4.2,클린한 이미지. 타겟 부합.
eunyeongbag_youtube,김병철,TikTok,1020782,0.146,라이프스타일,4530000,1.5,고급진 이미지. 콘텐츠 퀄리티 우수.
yeonghyii_instagram,이승현,YouTube,835698,0.0512,여행,4530000,1.8,영한 이미지. 콘텐츠 퀄리티 우수.
yeongsugi_youtube,김준호,Instagram,890531,0.0793,푸드,8810000,2.9,전문적인 이미지. 타겟 부합.
jeongsu12_youtube,황영길,YouTube,92687,0.1349,라이프스타일,9910000,4.3,전문적인 이미지. 콘텐츠 퀄리티 우수.
ri_tiktok,김도윤,Instagram,368843,0.0847,여행,7440000,2.0,클린한 이미지. 타겟 부합.
qbag_tiktok,홍상현,TikTok,713299,0.1219,라이프스타일,3160000,4.8,전문적인 이미지. 최근 평판 좋음.
sjang_youtube,윤준영,YouTube,648184,0.0615,푸드,5050000,2.0,고급진 이미지. 콘텐츠 퀄리티 우수.
jeongsu83_youtube,박영진,TikTok,264710,0.1097,여행,9230000,1.5,클린한 이미지. 타겟 부합.
migyeong71_tiktok,조지훈,Instagram,997437,0.0289,여행,2640000,2.7,영한 이미지. 콘텐츠 퀄리티 우수.
coeseongho_tiktok,김도윤,YouTube,77032,0.089,라이프스타일,4570000,3.5,전문적인 이미지. 콘텐츠 퀄리티 우수.
minjae73_youtube,김예지,Instagram,1124598,0.018,라이프스타일,1010000,4.1,고급진 이미지. 타겟 부합.
yeongho16_instagram,최정숙,Instagram,382369,0.0374,뷰티,8220000,1.2,클린한 이미지. 콘텐츠 퀄리티 우수.
mgim_instagram,서상현,YouTube,526770,0.0444,뷰티,7970000,3.0,고급진 이미지. 콘텐츠 퀄리티 우수.
jiugim_tiktok,장동현,Instagram,1237757,0.0052,여행,9510000,2.5,영한 이미지. 타겟 부합.
wgang_tiktok,김진우,YouTube,1490985,0.0605,라이프스타일,6600000,3.2,클린한 이미지. 콘텐츠 퀄리티 우수.
jeongsuni_instagram,김영철,TikTok,730835,0.0755,여행,4450000,4.5,클린한 이미지. 콘텐츠 퀄리티 우수.
gyeonghyigim_instagram,김서영,Instagram,156868,0.1112,라이프스타일,4420000,1.6,전문적인 이미지. 콘텐츠 퀄리티 우수.
minsubag_tiktok,이영철,TikTok,1430939,0.0066,라이프스타일,7240000,2.7,클린한 이미지. 콘텐츠 퀄리티 우수.
bagogja_instagram,권도윤,TikTok,869538,0.119,패션,3060000,4.0,고급진 이미지. 콘텐츠 퀄리티 우수.
ryuyeongsun_instagram,이경자,YouTube,795671,0.0816,여행,7810000,1.9,고급진 이미지. 타겟 부합.
bsong_tiktok,한영순,Instagram,58780,0.0716,뷰티,8040000,2.8,전문적인 이미지. 콘텐츠 퀄리티 우수.
syang_youtube,박정희,TikTok,357568,0.1474,패션,3750000,4.7,영한 이미지. 콘텐츠 퀄리티 우수.
ujin84_tiktok,권상호,YouTube,653688,0.089,라이프스타일,7430000,1.3,영한 이미지. 콘텐츠 퀄리티 우수.
baeseojun_instagram,허서준,Instagram,964498,0.0436,라이프스타일,7680000,1.6,고급진 이미지. 콘텐츠 퀄리티 우수.
myun_tiktok,김옥순,YouTube,153573,0.0589,여행,8210000,1.4,고급진 이미지. 타겟 부합.
rgim_tiktok,김민재,YouTube,725121,0.0371,뷰티,3540000,1.2,영한 이미지. 최근 평판 좋음.
seunghyeon72_youtube,서은경,YouTube,504273,0.0862,여행,1990000,3.2,영한 이미지. 타겟 부합.
haeunjo_tiktok,허정수,TikTok,125682,0.0077,라이프스타일,7180000,4.4,고급진 이미지. 타겟 부합.
ujin71_tiktok,이주원,YouTube,624183,0.0731,라이프스타일,9740000,4.6,클린한 이미지. 타겟 부합.
siumin_tiktok,손민석,Instagram,452846,0.1015,푸드,1810000,3.2,전문적인 이미지. 최근 평판 좋음.
fan_youtube,이병철,YouTube,84067,0.0296,푸드,1670000,2.7,클린한 이미지. 최근 평판 좋음.
yeongsig29_youtube,김하윤,TikTok,1269292,0.0856,푸드,4280000,1.3,전문적인 이미지. 콘텐츠 퀄리티 우수.
gimmyeongja_youtube,박채원,YouTube,1409365,0.0953,여행,4430000,1.6,전문적인 이미지. 콘텐츠 퀄리티 우수.
subinji_tiktok,이건우,YouTube,327494,0.0954,패션,5090000,1.1,고급진 이미지. 최근 평판 좋음.
seunghyeon43_tiktok,김종수,YouTube,834815,0.0615,푸드,1080000,3.8,고급진 이미지. 타겟 부합.
cunjagim_instagram,김예지,YouTube,1023377,0.1224,뷰티,900000,3.8,클린한 이미지. 타겟 부합.
ujin25_tiktok,이서윤,YouTube,778279,0.1454,푸드,9080000,2.6,전문적인 이미지. 타겟 부합.
tgo_youtube,장정식,Instagram,60275,0.0681,여행,8920000,4.9,클린한 이미지. 콘텐츠 퀄리티 우수.
seojiweon_instagram,하정훈,TikTok,1014502,0.0347,여행,8030000,4.7,전문적인 이미지. 최근 평판 좋음.
ogim_youtube,이진우,TikTok,262207,0.0256,라이프스타일,7480000,3.1,영한 이미지. 타겟 부합.
seoyeong70_instagram,황은지,TikTok,922331,0.1022,뷰티,5580000,4.2,클린한 이미지. 최근 평판 좋음.
hbaeg_youtube,성예원,TikTok,796666,0.1132,뷰티,9830000,5.0,전문적인 이미지. 콘텐츠 퀄리티 우수.
anujin_youtube,신서연,YouTube,1362676,0.0336,푸드,150000,4.0,영한 이미지. 콘텐츠 퀄리티 우수.
nojunho_youtube,김경수,TikTok,368882,0.0373,푸드,1210000,1.3,영한 이미지. 타겟 부합.
ogjagim_tiktok,배성수,Instagram,828594,0.0466,푸드,9720000,2.4,영한 이미지. 타겟 부합.
xi_instagram,박상철,YouTube,283096,0.0321,라이프스타일,6090000,3.3,영한 이미지. 타겟 부합.
subin14_youtube,황정훈,Instagram,351623,0.1441,패션,6640000,2.6,영한 이미지. 콘텐츠 퀄리티 우수.
yeonggil12_tiktok,김지훈,TikTok,733590,0.0344,패션,6580000,4.5,영한 이미지. 콘텐츠 퀄리티 우수.
yeonghwan48_instagram,이지혜,Instagram,1398162,0.0931,라이프스타일,9000000,2.2,클린한 이미지. 최근 평판 좋음.
jiyeong21_tiktok,최승현,TikTok,467585,0.1078,라이프스타일,7370000,1.4,영한 이미지. 콘텐츠 퀄리티 우수.
gyeonghyio_tiktok,우도현,Instagram,923038,0.1302,여행,3600000,1.4,고급진 이미지. 최근 평판 좋음.
sangceol75_tiktok,김현지,TikTok,1429453,0.0116,여행,5480000,4.7,클린한 이미지. 콘텐츠 퀄리티 우수.
jiyeoni_tiktok,박은정,YouTube,1446714,0.1297,뷰티,2920000,1.3,고급진 이미지. 최근 평판 좋음.
igim_youtube,김현우,YouTube,624196,0.0428,여행,2020000,4.4,영한 이미지. 콘텐츠 퀄리티 우수.
gimsumin_instagram,한정웅,Instagram,1077573,0.0391,여행,8110000,2.8,전문적인 이미지. 콘텐츠 퀄리티 우수.
mgim_youtube,김지영,Instagram,289063,0.1178,라이프스타일,6440000,2.1,클린한 이미지. 최근 평판 좋음.
jeonghyi98_youtube,오은경,YouTube,728981,0.0717,뷰티,4460000,3.0,클린한 이미지. 타겟 부합.
zgim_tiktok,박준서,Instagram,578876,0.0401,패션,5660000,4.1,고급진 이미지. 타겟 부합.
junho00_instagram,양진호,TikTok,826991,0.0649,라이프스타일,6720000,2.9,고급진 이미지. 콘텐츠 퀄리티 우수.
gimjiu_youtube,김하은,TikTok,1086280,0.0681,뷰티,6000000,1.4,클린한 이미지. 타겟 부합.
zi_youtube,김예지,Instagram,765577,0.1175,푸드,9480000,5.0,클린한 이미지. 타겟 부합.
yeongsug21_youtube,이지은,YouTube,163246,0.0372,뷰티,9240000,2.9,클린한 이미지. 콘텐츠 퀄리티 우수.
yunseo24_tiktok,문지은,TikTok,942052,0.0964,패션,1980000,3.7,클린한 이미지. 타겟 부합.
hgim_tiktok,조현정,YouTube,575935,0.0611,패션,5550000,4.4,클린한 이미지. 타겟 부합.
munmisug_tiktok,김정웅,YouTube,32897,0.1277,뷰티,2450000,3.3,영한 이미지. 최근 평판 좋음.
than_tiktok,김성수,YouTube,171523,0.1011,라이프스타일,8890000,1.3,클린한 이미지. 타겟 부합.
seoyeon54_youtube,이정식,TikTok,1076069,0.1034,라이프스타일,90000,3.3,영한 이미지. 타겟 부합.
sangceol89_instagram,장진호,TikTok,987616,0.0204,라이프스타일,8570000,3.2,클린한 이미지. 최근 평판 좋음.
ijeonghyi_youtube,지정순,TikTok,1271202,0.0101,패션,6080000,2.9,영한 이미지. 타겟 부합.
seojuni_instagram,윤예진,YouTube,991763,0.0752,라이프스타일,4060000,3.0,영한 이미지. 콘텐츠 퀄리티 우수.
bgim_tiktok,이승현,YouTube,100151,0.0134,라이프스타일,6450000,4.2,영한 이미지. 최근 평판 좋음.
yeeun94_tiktok,김영진,YouTube,708839,0.1002,패션,5660000,4.1,전문적인 이미지. 타겟 부합.
yejigim_tiktok,김지훈,Instagram,189326,0.1149,뷰티,1700000,2.8,전문적인 이미지. 콘텐츠 퀄리티 우수.
ryuseoyun_instagram,나경숙,YouTube,899260,0.1049,패션,160000,3.8,클린한 이미지. 최근 평판 좋음.
isim_youtube,이민준,Instagram,103859,0.1064,뷰티,6870000,1.6,전문적인 이미지. 콘텐츠 퀄리티 우수.
mgim_instagram,김서윤,TikTok,1039314,0.07,여행,90000,4.5,전문적인 이미지. 콘텐츠 퀄리티 우수.
dohyeon17_instagram,오현숙,TikTok,632535,0.0931,뷰티,9840000,2.5,고급진 이미지. 콘텐츠 퀄리티 우수.
yeonggil72_tiktok,박하윤,TikTok,652039,0.0783,패션,6200000,4.4,고급진 이미지. 콘텐츠 퀄리티 우수.
ueunjeong_instagram,차진우,TikTok,56693,0.0215,뷰티,2940000,1.7,고급진 이미지. 콘텐츠 퀄리티 우수.
donghyeongim_instagram,김정수,TikTok,213530,0.0687,여행,5110000,1.5,전문적인 이미지. 콘텐츠 퀄리티 우수.
bagyeeun_tiktok,권은주,YouTube,690298,0.0808,여행,5790000,1.2,클린한 이미지. 타겟 부합.
gimjeongnam_youtube,홍경자,YouTube,414679,0.0262,패션,680000,4.9,고급진 이미지. 최근 평판 좋음.
gimyeonghyi_youtube,최은지,YouTube,1149948,0.0183,푸드,1040000,2.4,전문적인 이미지. 타겟 부합.
hyeonjun26_tiktok,서하윤,TikTok,1117442,0.0135,여행,6530000,4.2,전문적인 이미지. 최근 평판 좋음.
ijeongho_tiktok,김예은,Instagram,506713,0.1352,여행,7630000,3.0,고급진 이미지. 타겟 부합.
xgim_instagram,황정웅,YouTube,1146723,0.0757,라이프스타일,2080000,1.6,고급진 이미지. 최근 평판 좋음.
bi_youtube,박승민,TikTok,965993,0.1455,라이프스타일,5150000,2.4,영한 이미지. 최근 평판 좋음.
yeonghoi_instagram,김경자,TikTok,1243490,0.0949,푸드,3140000,2.3,고급진 이미지. 타겟 부합.
yujin08_youtube,최준혁,YouTube,331212,0.0784,뷰티,4460000,2.2,영한 이미지. 최근 평판 좋음.
gojunho_youtube,배성민,YouTube,1461218,0.0502,푸드,320000,2.4,클린한 이미지. 최근 평판 좋음.
yeonghyigim_tiktok,한예원,Instagram,808884,0.0242,여행,9590000,2.8,영한 이미지. 콘텐츠 퀄리티 우수.
seungmin32_tiktok,오정남,TikTok,325804,0.0546,라이프스타일,7050000,2.1,클린한 이미지. 콘텐츠 퀄리티 우수.
wgim_instagram,최지혜,Instagram,558806,0.1078,푸드,9910000,3.9,고급진 이미지. 콘텐츠 퀄리티 우수.
bagyeongceol_instagram,송경수,TikTok,946690,0.0169,패션,6850000,3.2,고급진 이미지. 최근 평판 좋음.
eunyeong19_tiktok,이성수,Instagram,762617,0.0627,패션,3830000,2.2,전문적인 이미지. 콘텐츠 퀄리티 우수.
sugja97_instagram,김승민,Instagram,1376309,0.0729,패션,4610000,4.7,영한 이미지. 타겟 부합.
hmun_tiktok,강민석,Instagram,412570,0.1069,라이프스타일,1870000,2.0,고급진 이미지. 타겟 부합.
yeongsig97_instagram,이미숙,YouTube,1014502,0.0437,여행,5590000,1.2,클린한 이미지. 타겟 부합.
iareum_instagram,김현주,Instagram,596971,0.0787,라이프스타일,9140000,1.5,고급진 이미지. 최근 평판 좋음.
sujin20_youtube,권경희,YouTube,666554,0.0905,뷰티,4570000,2.6,전문적인 이미지. 최근 평판 좋음.
gyeongsug65_instagram,이지민,YouTube,588202,0.09,푸드,8650000,2.8,전문적인 이미지. 타겟 부합.
jeonghyii_instagram,박도현,YouTube,1348037,0.0423,패션,1610000,2.9,전문적인 이미지. 최근 평판 좋음.
yejingim_tiktok,임준호,YouTube,868063,0.0533,뷰티,2980000,2.8,전문적인 이미지. 타겟 부합.
xbag_tiktok,이하은,Instagram,622206,0.1002,라이프스타일,4500000,4.9,고급진 이미지. 최근 평판 좋음.
yeweon04_tiktok,신수민,TikTok,183804,0.0885,뷰티,940000,2.0,영한 이미지. 최근 평판 좋음.
baejinho_instagram,안승현,YouTube,1060266,0.1259,여행,80000,2.6,전문적인 이미지. 최근 평판 좋음.
sujinbag_youtube,이현정,Instagram,132525,0.0167,패션,3810000,3.8,클린한 이미지. 타겟 부합.
egim_tiktok,최병철,Instagram,256137,0.0292,푸드,470000,2.6,전문적인 이미지. 타겟 부합.
nahyeonsug_instagram,이영수,YouTube,773422,0.0657,라이프스타일,7990000,4.6,영한 이미지. 콘텐츠 퀄리티 우수.
yeweon56_instagram,강영숙,TikTok,940536,0.1279,패션,2010000,3.0,클린한 이미지. 타겟 부합.
jeonghyigim_instagram,최민수,Instagram,1314570,0.0742,푸드,8520000,3.4,전문적인 이미지. 콘텐츠 퀄리티 우수.
yangjeongja_instagram,이주원,YouTube,704177,0.0911,푸드,5800000,2.3,클린한 이미지. 콘텐츠 퀄리티 우수.
doyun45_instagram,김수민,TikTok,1258193,0.1159,여행,7430000,1.0,클린한 이미지. 타겟 부합.
jihyeoni_youtube,홍상호,YouTube,635702,0.1047,뷰티,8690000,2.0,전문적인 이미지. 타겟 부합.
iujin_instagram,이영식,Instagram,1478327,0.1293,패션,9870000,1.6,고급진 이미지. 최근 평판 좋음.
vi_tiktok,권지영,YouTube,702175,0.0153,푸드,8570000,2.4,클린한 이미지. 타겟 부합.
seonghyeon72_tiktok,박수빈,Instagram,935895,0.0254,뷰티,7010000,5.0,고급진 이미지. 콘텐츠 퀄리티 우수.
yeeungim_instagram,김예지,Instagram,1289613,0.0366,푸드,3330000,4.7,영한 이미지. 타겟 부합.
yi_youtube,윤재호,TikTok,746206,0.0759,푸드,2790000,4.5,전문적인 이미지. 콘텐츠 퀄리티 우수.
seunghyeon18_instagram,송정남,YouTube,450422,0.0792,패션,7800000,2.2,전문적인 이미지. 콘텐츠 퀄리티 우수.
ohyejin_instagram,김성민,YouTube,880409,0.1184,라이프스타일,1090000,2.4,클린한 이미지. 타겟 부합.
seoyeongim_tiktok,이정호,Instagram,1036480,0.1204,라이프스타일,8730000,4.5,전문적인 이미지. 콘텐츠 퀄리티 우수.
yeongsumin_instagram,이정순,Instagram,379233,0.1416,여행,6160000,3.4,클린한 이미지. 콘텐츠 퀄리티 우수.
seungminha_instagram,김경희,TikTok,837174,0.0778,여행,3390000,2.9,전문적인 이미지. 타겟 부합.
jihu27_tiktok,김성호,YouTube,301810,0.0603,여행,6170000,4.1,클린한 이미지. 최근 평판 좋음.
haeuni_tiktok,김민지,YouTube,560038,0.0125,패션,2480000,3.3,클린한 이미지. 최근 평판 좋음.
minjunbae_instagram,김숙자,TikTok,170955,0.0695,여행,8640000,2.5,전문적인 이미지. 최근 평판 좋음.
imun_youtube,남성호,YouTube,848510,0.0851,라이프스타일,540000,3.2,클린한 이미지. 타겟 부합.
gimjihu_instagram,김하윤,Instagram,883405,0.0293,패션,9610000,4.0,영한 이미지. 타겟 부합.
junseo35_tiktok,김상철,YouTube,611172,0.0328,뷰티,8420000,2.0,전문적인 이미지. 타겟 부합.
ogja78_tiktok,류지아,TikTok,188469,0.0537,여행,2060000,2.5,고급진 이미지. 콘텐츠 퀄리티 우수.
nhan_youtube,남명자,Instagram,981996,0.057,푸드,4640000,4.5,클린한 이미지. 타겟 부합.
juweon44_youtube,이민지,YouTube,1179345,0.032,라이프스타일,8520000,1.1,클린한 이미지. 콘텐츠 퀄리티 우수.
gimjia_youtube,남은경,Instagram,114619,0.1153,패션,9210000,2.8,클린한 이미지. 최근 평판 좋음.
juweon95_youtube,김숙자,Instagram,840260,0.148,뷰티,2880000,2.1,클린한 이미지. 최근 평판 좋음.
myeongjahwang_instagram,이정웅,Instagram,439888,0.1044,라이프스타일,6620000,2.9,고급진 이미지. 콘텐츠 퀄리티 우수.
hanminseo_youtube,심서준,TikTok,723646,0.0729,푸드,3310000,4.7,고급진 이미지. 콘텐츠 퀄리티 우수.
jeongung76_instagram,송지훈,YouTube,1206955,0.0113,라이프스타일,8290000,5.0,고급진 이미지. 타겟 부합.
sugja58_instagram,김지우,YouTube,512761,0.043,여행,7470000,1.5,전문적인 이미지. 최근 평판 좋음.
hongjaehyeon_instagram,장경수,TikTok,121053,0.066,여행,4650000,1.3,영한 이미지. 타겟 부합.
eungyeonggim_tiktok,남성민,Instagram,474455,0.1166,여행,3220000,2.5,영한 이미지. 최근 평판 좋음.
qgim_youtube,김영순,YouTube,956144,0.0484,패션,9080000,2.5,전문적인 이미지. 최근 평판 좋음.
eunseo62_youtube,이은주,Instagram,1001676,0.0294,푸드,8660000,3.7,영한 이미지. 콘텐츠 퀄리티 우수.
gimmijeong_instagram,김영숙,TikTok,613871,0.0487,뷰티,8650000,2.9,고급진 이미지. 타겟 부합.
yunjongsu_instagram,김성민,TikTok,1097562,0.0366,푸드,9870000,2.5,영한 이미지. 최근 평판 좋음.
doyun16_tiktok,최성민,Instagram,917176,0.0595,뷰티,6970000,4.8,영한 이미지. 콘텐츠 퀄리티 우수.
gson_tiktok,김성수,Instagram,1380474,0.0994,푸드,5390000,4.4,고급진 이미지. 콘텐츠 퀄리티 우수.
ysong_tiktok,남상현,Instagram,308396,0.1179,라이프스타일,8350000,4.8,클린한 이미지. 최근 평판 좋음.
co_tiktok,전준혁,YouTube,1196199,0.0776,여행,7280000,4.2,클린한 이미지. 콘텐츠 퀄리티 우수.
iju_instagram,이서준,YouTube,1093458,0.1353,뷰티,7730000,3.0,전문적인 이미지. 최근 평판 좋음.
seungmin05_instagram,장영식,TikTok,66907,0.0235,패션,9380000,1.6,클린한 이미지. 콘텐츠 퀄리티 우수.
xgim_tiktok,노서영,YouTube,1364560,0.124,패션,3090000,4.3,전문적인 이미지. 콘텐츠 퀄리티 우수.
ngim_youtube,김지아,YouTube,1461734,0.0149,푸드,1150000,4.1,고급진 이미지. 최근 평판 좋음.
bbaeg_youtube,남현우,TikTok,464679,0.0248,여행,9290000,4.9,영한 이미지. 콘텐츠 퀄리티 우수.
gimsangho_youtube,김정웅,Instagram,399812,0.0966,라이프스타일,3940000,2.7,전문적인 이미지. 타겟 부합.
qi_youtube,박민준,TikTok,767856,0.0868,패션,260000,1.3,클린한 이미지. 콘텐츠 퀄리티 우수.
myeongja35_instagram,이현지,TikTok,1034123,0.1486,패션,3400000,1.8,영한 이미지. 최근 평판 좋음.
hyeonji47_tiktok,이병철,Instagram,403584,0.0195,뷰티,1990000,3.3,클린한 이미지. 타겟 부합.
yunseobag_youtube,이상훈,YouTube,591299,0.0836,라이프스타일,5310000,3.8,클린한 이미지. 콘텐츠 퀄리티 우수.
seunghyeonbag_tiktok,이은주,Instagram,728453,0.1281,패션,6050000,4.6,영한 이미지. 타겟 부합.
jeonghun48_youtube,이영진,TikTok,1342308,0.0444,패션,8670000,2.2,영한 이미지. 최근 평판 좋음.
ryuyeongmi_instagram,김성민,TikTok,940201,0.0578,라이프스타일,9240000,2.1,전문적인 이미지. 타겟 부합.
gangyeongmi_tiktok,김지훈,TikTok,939653,0.0837,패션,3490000,1.6,고급진 이미지. 최근 평판 좋음.
ri_youtube,구영식,Instagram,143924,0.0648,푸드,3410000,3.6,영한 이미지. 타겟 부합.
gimminseog_instagram,김정순,TikTok,974708,0.0885,라이프스타일,6730000,3.2,전문적인 이미지. 최근 평판 좋음.
gangjungsu_youtube,박중수,TikTok,746980,0.0263,라이프스타일,2450000,3.7,전문적인 이미지. 최근 평판 좋음.
jongsu20_youtube,이영숙,TikTok,212746,0.1148,여행,6320000,4.9,전문적인 이미지. 타겟 부합.
wmin_tiktok,이승현,Instagram,1132279,0.0899,푸드,5690000,3.3,고급진 이미지. 타겟 부합.
jeongsunseo_instagram,류영호,TikTok,331884,0.0602,뷰티,740000,2.4,영한 이미지. 최근 평판 좋음.
gimboram_instagram,류보람,YouTube,427372,0.0507,뷰티,6670000,3.5,전문적인 이미지. 타겟 부합.
aneunjeong_youtube,김우진,TikTok,89939,0.0373,푸드,2270000,1.6,전문적인 이미지. 타겟 부합.
mbag_tiktok,권은주,TikTok,188633,0.0859,뷰티,7320000,2.6,고급진 이미지. 최근 평판 좋음.
hyeonu97_youtube,차정남,TikTok,162204,0.0401,뷰티,9280000,3.6,전문적인 이미지. 최근 평판 좋음.
lmun_youtube,김영길,TikTok,131891,0.0597,여행,5230000,2.4,고급진 이미지. 최근 평판 좋음.
ogsunim_tiktok,양재현,YouTube,436439,0.0481,여행,9170000,2.2,전문적인 이미지. 최근 평판 좋음.
cunja77_instagram,이민수,Instagram,428427,0.0305,여행,3940000,1.8,전문적인 이미지. 콘텐츠 퀄리티 우수.
yeongho69_tiktok,권도현,TikTok,907504,0.1442,여행,2500000,2.7,고급진 이미지. 최근 평판 좋음.
miyeongi_tiktok,김경숙,YouTube,734945,0.01,푸드,360000,4.9,클린한 이미지. 타겟 부합.
bbag_instagram,나현준,TikTok,931852,0.0503,뷰티,450000,2.5,고급진 이미지. 타겟 부합.
doyun41_instagram,박영길,TikTok,452749,0.077,여행,8920000,1.5,클린한 이미지. 타겟 부합.
minseobae_instagram,고영환,YouTube,95174,0.1216,뷰티,8660000,2.4,전문적인 이미지. 콘텐츠 퀄리티 우수.
sgim_tiktok,장보람,YouTube,852483,0.0097,라이프스타일,8410000,1.5,전문적인 이미지. 타겟 부합.
sumin09_youtube,이성현,YouTube,863794,0.1,푸드,2780000,3.9,클린한 이미지. 콘텐츠 퀄리티 우수.
ssin_instagram,김혜진,YouTube,966029,0.0991,패션,4980000,4.1,고급진 이미지. 최근 평판 좋음.
seogyeonghyi_tiktok,윤경숙,TikTok,1325529,0.096,패션,3540000,4.6,전문적인 이미지. 타겟 부합.
namseoyeong_youtube,이지우,Instagram,988538,0.0813,여행,4110000,2.6,영한 이미지. 최근 평판 좋음.
bagboram_youtube,이예지,Instagram,466432,0.1411,패션,3750000,2.1,클린한 이미지. 타겟 부합.
gimseoyeong_tiktok,최민서,YouTube,1259836,0.0148,푸드,3790000,3.2,클린한 이미지. 콘텐츠 퀄리티 우수.
jeongsuji_tiktok,김영호,YouTube,453642,0.0356,패션,140000,1.5,영한 이미지. 타겟 부합.
zyun_youtube,한민석,Instagram,1283005,0.0211,푸드,3250000,4.1,전문적인 이미지. 타겟 부합.
minjiheo_tiktok,안지연,Instagram,843329,0.1019,푸드,540000,1.7,고급진 이미지. 콘텐츠 퀄리티 우수.
jihu56_tiktok,오지원,YouTube,1348419,0.0256,여행,7390000,4.8,클린한 이미지. 콘텐츠 퀄리티 우수.
caeweon95_instagram,최민준,YouTube,566157,0.0883,뷰티,5530000,1.4,고급진 이미지. 콘텐츠 퀄리티 우수.
yeongceol50_instagram,윤명자,TikTok,56725,0.0721,라이프스타일,4730000,4.6,전문적인 이미지. 콘텐츠 퀄리티 우수.
minjigim_instagram,윤영미,Instagram,164818,0.1264,뷰티,8040000,1.4,클린한 이미지. 콘텐츠 퀄리티 우수.
jeonghunbae_instagram,윤정식,Instagram,1058498,0.1112,여행,1830000,2.9,전문적인 이미지. 타겟 부합.
jinho54_youtube,성성현,TikTok,256938,0.0593,뷰티,4060000,4.2,고급진 이미지. 콘텐츠 퀄리티 우수.
